Year    Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1979   20.707   21.102   22.457   23.981   25.339   26.688   27.400   27.547   26.878   25.633   23.439   21.905
1980   21.570   21.098   22.595   23.949   25.877   27.180   28.075   28.058   27.569   25.398   23.474   21.664
1981   20.527   21.140   22.157   24.439   25.607   27.071   27.715   27.619   27.028   25.462   23.594   21.817
1982   21.236   21.727   23.226   24.115   25.453   26.705   27.549   27.682   27.037   25.588   23.905   22.589
1983   21.387   21.696   22.432   23.571   25.414   26.800   27.582   27.791   26.989   25.753   23.905   21.831
1984   20.971   21.651   22.333   23.870   25.229   26.441   27.011   27.187   26.493   25.627   23.221   22.505
1985   20.278   20.943   22.766   23.776   25.636   26.855   27.219   27.644   26.921   25.899   24.367   21.600
1986   20.983   21.877   22.383   23.851   25.355   26.599   27.438   27.465   26.962   25.603   24.269   22.391
1987   21.274   21.627   22.290   23.429   25.620   26.776   27.601   27.963   27.402   25.239   23.765   22.472
1988   20.774   21.086   22.209   23.772   25.350   26.629   27.336   27.612   26.854   24.955   23.885   21.694
1989   21.847   21.418   22.313   23.866   25.416   26.477   27.160   27.525   26.985   25.359   23.811   20.960
1990   21.664   22.205   22.813   23.986   25.632   27.053   27.360   27.855   27.382   25.718   23.883   22.287
1991   21.651   21.837   22.994   24.491   25.837   26.808   27.559   27.618   26.913   25.536   23.086   22.169
1992   21.172   21.716   22.644   23.724   24.875   26.612   27.399   27.296   26.929   25.417   23.561   22.278
1993   21.841   21.365   21.973   23.275   24.994   26.596   27.605   27.834   27.061   25.496   23.505   22.012
1994   20.915   21.659   22.607   24.246   25.653   26.820   27.274   27.339   26.791   25.484   24.319   22.549
1995   21.466   21.452   22.514   23.857   25.774   26.751   27.626   27.801   27.356   25.773   23.625   22.229
1996   20.980   21.303   21.690   23.289   25.540   26.697   27.402   27.301   26.950   25.430   23.535   22.136
1997   21.257   21.880   23.055   23.486   25.063   26.422   27.678   27.900   27.448   25.648   23.553   22.181
1998   22.020   21.914   22.214   23.910   26.009   27.728   28.188   28.302   27.691   26.182   24.355   22.791
1999   22.017   22.067   22.261   24.256   25.462   26.602   27.213   28.167   27.122   25.435   23.670   21.791
2000   21.141   21.566   22.683   23.732   25.550   26.586   27.568   27.901   27.213   25.573   23.509   21.277
2001   20.708   21.854   22.146   24.091   25.090   26.565   27.521   27.855   27.023   25.323   23.899   22.615
2002   21.678   21.441   22.510   24.587   25.657   26.605   27.408   27.803   27.454   26.198   23.902   22.305
2003   20.782   21.484   23.214   24.178   25.979   26.826   27.359   27.748   27.225   26.068   24.564   21.923
2004   21.282   21.357   22.874   23.664   25.260   26.722   27.510   27.654   27.223   26.292   24.271   22.022
2005   21.560   21.488   22.295   23.825   25.270   27.170   27.904   28.286   27.909   26.081   24.121   21.948
2006   21.970   21.223   22.592   24.309   25.481   26.872   27.678   28.121   27.458   26.181   24.032   22.514
2007   21.878   21.497   23.097   23.769   25.585   26.742   27.486   28.190   27.499   26.178   23.874   22.844
2008   21.402   22.131   22.700   23.948   25.419   26.824   27.390   27.681   27.180   25.534   23.318   22.072
2009   21.229   21.357   22.267   23.729   25.216   26.976   27.693   27.925   27.480   26.182   24.154   22.390
2010   20.762   20.579   21.780   23.845   25.779   27.590   27.908   28.365   27.570   25.706   23.776   21.086
2011   20.369   21.191   22.649   24.470   25.600   27.306   27.860   28.459   27.456   25.677   23.917   22.315
2012   21.844   22.048   23.447   24.425   25.749   26.857   27.672   27.850   27.380   26.046   23.595   22.791
2013   22.130   22.038   22.029   23.762   25.121   26.735   27.292   27.821   27.464   26.248   23.981   22.633
2014   21.085   21.832   22.732   24.155   25.456   26.762   27.749   28.195   27.557   26.343   23.509   22.744
2015   21.800   21.278   23.091   24.802   26.015   27.184   28.053   28.306   27.947   26.564   25.107   23.962
2016   22.117   21.971   23.468   24.536   25.942   27.440   28.411   28.436   28.023   26.771   24.638   23.035
2017   22.542   22.874   23.280   24.660   25.780   26.947   27.933   28.117   27.689   26.370   24.549   22.706
