Year    Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1967   25.257   25.154   25.391   25.879   26.876   27.391   27.854   28.154   28.248   27.839   26.935   25.956
1968   25.039   24.705   25.014   25.979   26.785   27.624   28.215   28.569   28.486   27.968   27.082   26.125
1969   25.358   25.243   25.589   26.675   27.590   28.334   28.680   28.776   28.691   28.192   27.076   26.048
1970   25.320   25.014   25.532   26.409   26.980   27.577   28.077   28.269   28.313   27.867   26.733   25.882
1971   25.246   25.034   25.196   25.825   26.671   27.284   27.839   28.088   28.009   27.568   26.708   25.950
1972   25.427   25.200   25.646   26.311   26.968   27.472   27.861   28.149   28.352   28.098   27.424   26.529
1973   25.648   25.283   25.833   26.202   27.110   27.770   28.186   28.230   28.234   27.784   26.861   25.586
1974   25.283   24.954   25.451   26.130   26.703   27.508   27.934   28.223   28.202   27.505   26.602   25.662
1975   25.072   25.074   25.473   26.171   26.930   27.565   27.881   28.215   28.049   27.557   26.714   25.520
1976   24.581   24.440   25.071   25.714   26.499   27.127   27.767   28.162   28.240   28.013   27.053   26.193
1977   25.379   25.224   25.688   25.995   26.668   27.553   28.138   28.354   28.373   27.963   27.167   26.239
1978   25.360   25.035   25.489   26.301   27.252   27.726   28.065   28.281   28.294   27.985   27.268   26.373
1979   25.508   25.269   25.494   26.114   26.848   27.644   28.092   28.358   28.324   27.967   26.978   26.041
1980   25.455   25.173   25.662   26.339   27.490   27.993   28.442   28.596   28.541   27.990   27.037   25.918
1981   25.137   25.056   25.344   26.207   27.307   27.913   28.361   28.515   28.575   27.883   26.875   26.032
1982   25.519   25.558   25.956   26.605   26.798   27.528   28.083   28.290   28.327   27.960   26.964   26.035
1983   25.514   25.376   25.571   26.135   27.084   27.985   28.217   28.473   28.415   27.989   27.228   26.569
1984   25.703   25.506   25.576   26.299   26.771   27.201   27.701   27.847   27.983   27.512   26.566   25.568
1985   24.798   24.848   25.339   25.767   26.863   27.592   27.880   28.292   28.174   27.764   26.920   25.913
1986   25.149   25.177   25.195   25.897   26.754   27.385   27.717   28.085   27.917   27.624   27.089   26.390
1987   25.437   25.156   25.419   25.840   26.984   27.686   28.219   28.545   28.738   27.999   27.141   26.404
1988   25.332   25.095   25.411   26.037   26.949   27.724   28.182   28.315   28.066   27.552   26.912   25.693
1989   25.366   24.975   24.991   26.017   26.776   27.177   27.818   28.278   28.363   27.777   27.101   26.050
1990   25.461   25.481   25.353   26.169   26.853   27.546   27.893   28.467   28.623   28.160   26.859   25.832
1991   25.479   25.183   25.683   26.319   26.882   27.548   28.098   28.297   28.257   27.809   26.835   25.858
1992   25.242   25.097   25.525   25.963   26.391   27.676   27.961   28.176   28.170   27.901   27.097   26.186
1993   25.654   25.124   25.118   25.746   26.372   27.369   27.952   28.375   28.415   27.886   27.090   26.081
1994   25.298   25.401   25.671   26.375   27.239   27.699   27.763   28.112   28.124   27.807   27.212   26.305
1995   25.528   25.155   25.443   26.028   27.243   27.742   28.314   28.546   28.903   28.142   27.253   26.482
1996   25.320   25.099   25.179   25.852   26.575   27.601   27.974   28.021   28.485   27.849   26.832   25.723
1997   25.280   25.260   25.615   26.078   27.018   27.673   28.318   28.681   28.606   27.908   27.187   26.407
1998   25.770   25.568   25.444   26.180   27.108   28.317   28.633   29.040   28.892   28.366   27.243   26.344
1999   25.754   25.292   25.430   26.220   27.051   27.586   27.672   28.667   28.717   27.961   26.709   25.567
2000   24.918   24.717   25.046   25.842   26.658   27.322   28.043   28.307   28.503   27.955   27.067   26.120
2001   25.136   25.272   25.467   26.017   26.515   27.459   28.100   28.565   28.657   28.062   26.788   26.171
2002   25.609   25.546   25.648   26.473   27.014   27.583   28.063   28.708   28.614   28.211   27.615   26.550
2003   25.500   25.378   26.271   26.402   27.336   27.865   27.981   28.477   28.697   28.579   27.650   26.137
2004   25.437   25.409   25.609   25.903   26.423   27.568   28.187   28.597   28.484   28.232   27.183   26.144
2005   25.119   24.654   25.255   26.258   26.986   28.142   28.485   29.049   29.145   28.410   27.173   26.246
2006   25.513   25.055   25.400   26.091   27.007   27.906   28.231   28.583   28.974   28.676   27.618   26.510
2007   26.106   25.721   25.844   26.273   27.206   27.856   28.575   28.816   28.747   28.368   27.206   26.480
2008   25.611   25.702   25.733   26.169   26.886   27.535   27.939   28.588   28.517   28.078   26.797   25.759
2009   25.186   24.799   24.889   25.837   26.566   27.533   28.311   28.610   28.904   28.585   27.539   26.820
2010   25.443   25.220   25.067   25.999   27.246   28.479   28.572   29.002   29.018   28.179   27.064   25.613
2011   24.848   25.089   25.428   26.464   27.100   27.739   28.305   28.886   28.876   28.299   27.220   26.340
2012   25.631   25.562   25.738   26.225   26.910   27.730   28.219   28.521   28.654   28.414   26.968   26.338
2013   25.910   25.750   25.417   26.191   26.954   27.538   27.925   28.476   28.625   28.595   27.750   26.892
2014   26.074   26.057   26.360   26.698   27.035   27.575   28.394   28.841   28.654   28.463   27.385   26.555
2015   26.090   25.744   26.132   26.771   27.455   27.725   28.299   28.910   29.200   28.700   28.001   27.121
