Year    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov   Dec
1980   0.21   0.21   0.52   0.86   0.44   0.64   0.26  -0.12   0.26   0.11   0.31   0.33
1981  -0.31  -0.03   0.82   0.18  -0.35  -0.47  -0.58  -0.29  -0.19   0.32  -0.15  -0.11
1982  -0.36  -0.06   0.00   0.47   1.05   1.74   1.57   1.90   2.04   2.22   2.69   2.38
1983   2.76   3.08   2.50   1.57   0.66   0.82   0.39   0.09  -0.67  -0.77  -0.53  -0.37
1984  -0.37  -0.54   0.02  -0.56  -0.39  -0.28  -0.20  -0.31  -0.21  -0.20  -0.66  -0.62
1985  -0.19  -0.95  -0.72  -1.08  -0.50  -0.11  -0.22  -0.64  -0.29  -0.01  -0.02  -0.21
1986  -0.73   0.26  -0.29  -0.29   0.05  -0.31   0.20   0.59   0.76   0.30   1.35   1.31
1987   0.99   1.42   1.71   1.84   1.97   2.08   2.10   1.87   1.68   1.14   0.74   0.90
1988   0.54   0.54   0.18  -0.31  -1.30  -1.11  -1.61  -1.64  -1.71  -1.86  -2.06  -1.47
1989  -1.55  -1.23  -1.14  -1.66  -1.26  -0.74  -0.64  -0.04  -0.40  -0.51   0.06   0.27
1990   0.15   1.12   0.61   0.32  -0.29   0.12   0.03   0.47   0.55   0.17   0.40   0.40
1991   0.12   0.23   0.64   0.86   1.37   0.94   0.71   0.82   1.02   1.28   1.00   1.82
1992   2.12   1.51   2.22   2.05   1.19   1.18   0.69  -0.08  -0.02   0.75   0.36   0.41
1993   0.59   0.74   0.81   1.71   1.20   1.39   0.94   0.92   0.65   0.96   0.24   0.12
1994   0.16  -0.07   0.52   1.10   0.89   0.83   1.11   1.33   1.18   1.29   1.02   1.33
1995   0.84   0.70   0.44   0.96   0.63   0.28  -0.00  -0.20  -0.42  -0.26  -0.38   0.01
1996  -0.66  -0.39  -0.52  -0.53  -0.48  -0.54  -0.26  -0.35  -0.44  -0.28  -0.03  -0.48
1997  -0.30  -0.75   0.42   0.97   2.10   2.11   1.89   2.48   2.27   2.15   1.92   1.74
1998   2.73   2.61   2.46   1.55   0.63  -0.95  -1.50  -1.44  -1.23  -1.28  -1.28  -1.52
1999  -1.70  -1.22  -1.04  -1.22  -0.64  -0.82  -0.78  -0.95  -0.54  -1.03  -1.30  -1.49
2000  -1.26  -1.75  -1.20  -1.01  -0.58  -0.27  -0.07  -0.44  -0.72  -0.90  -1.40  -0.78
2001  -0.87  -1.15  -0.46  -0.09   0.36   0.13   0.44   0.51  -0.08   0.14  -0.40   0.41
2002  -0.15  -0.33   0.44   0.40   1.06   0.99   1.12   1.45   1.21   1.15   1.20   1.48
2003   0.85   1.07   0.83   0.30   0.08   0.32   0.23   0.17   0.31   0.44   0.46  -0.28
2004   0.88  -0.48   0.00   0.65  -0.12   0.61   0.89   0.90   0.82   0.56   0.85   0.95
2005   0.20   2.23   0.33   0.72   1.08   0.39   0.35   0.40  -0.14  -0.47   0.04  -0.20
2006  -1.22  -0.31  -1.00  -0.39   0.63   0.48   0.64   1.02   0.86   1.26   0.57   0.90
2007   0.88   0.30   0.15   0.26   0.15  -0.07   0.06  -0.48  -0.63  -1.14  -1.23  -1.60
2008  -1.75  -2.52  -1.24  -0.93  -0.27  -0.46   0.02  -0.35  -0.80  -0.82  -0.89  -1.07
2009  -1.32  -1.95  -0.30  -0.54   0.68   0.64   0.63   1.02   0.35   1.83   1.51   1.73
2010   1.62   1.94   1.21  -0.14  -0.76  -0.69  -2.17  -2.33  -2.76  -2.35  -1.83  -2.99
2011  -2.46  -3.07  -2.34  -1.69  -0.53  -0.23  -0.81  -0.77  -1.20  -1.13  -1.40  -2.37
2012  -1.30  -0.84  -0.85  -0.08   0.06   0.56   0.62   0.67   0.24  -0.05   0.03   0.46
2013  -0.13  -0.04  -1.11  -0.13  -0.74  -0.78  -0.70  -0.32  -0.18  -0.14  -0.54  -0.01
2014  -1.26  -0.37   0.54  -0.17   0.09   0.37   0.42   0.70   0.97   0.76   1.24   0.87
2015   0.94   0.14   0.91   0.83   1.69   1.53   2.34   2.60   2.92   2.77   1.99   1.91
2016   2.96   3.05   1.23   1.78   0.07  -0.40  -0.56  -0.93  -1.25  -0.25  -0.14  -0.39
2017  -0.26   0.11  -0.51   0.48   0.34   0.79  -0.14  -0.51  -0.66  -0.96  -1.15  -0.25
